Reporting Year,Bank,RFP Source,Data Description,Office Address,ZIP Code,Census Tract,Location
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,1551 N Kingsbury St,,170318422.00,POINT (-87.65259 41.90954)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,5620 W Belmont Ave,60634-5301,,POINT (-87.76734 41.93905)
2022,U.S. Bank,Form G,Depository Location,1230 S Naper Blvd,,8462.03,POINT (-88.11509 41.75142)
2022,Associated Bank,Form G,Depository Location,6355 N Central Ave Chicago 60646,,1202,POINT (-87.76392 41.99703)
2022,PNC Bank,Form G,Depository Location,"5455 W BELMONT AVE CHICAGO, IL 60641",,17031190300,POINT (-87.76357 41.9386)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,1103 W Addison St,60613,,POINT (-87.65758 41.94716)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,6131 North Lincoln,,17031130100,POINT (-87.71199 41.99322)
2021,BMO Harris Bank National Association,Form G,Depository Locations,"8300 S. Holland Road, Suite E",,17031842400,POINT (-87.63208 41.74332)
2022,U.S. Bank,Form G,Depository Location,417 S Water St,,8834.01,POINT (-87.6171 41.88652)
2021,"Bank of America, National Association",Form G,Depository Locations,"4758 N Racine Ave., Chicago, IL 60640-4912",,17031031700,POINT (-87.65958 41.96829)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,1910 E 95th St,60617-4787,,POINT (-87.57749 41.72247)
2021,Citibank N.A.,Form G,Depository Locations,539 N MICHIGAN AVE CHICAGO IL 60611,,814.03,POINT (-87.62416 41.89208)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,6415 N Sheridan Rd,60626-5334,,POINT (-87.66066 41.99916)
2022,U.S. Bank,Form G,Depository Location,225 N Weber Rd,,8801.20,POINT (-88.12476 41.70128)
2022,PNC Bank,Form G,Depository Location,"6360 W HIGGINS AVE CHICAGO, IL 60630",,17031110300,POINT (-87.78779 41.97625)
2022,Huntington,Form G,Depository Location,"5320 S Pulaski Rd, Chicago, IL, 60632",,17031620200,POINT (-87.72379 41.79616)
2022,Fifth Third Bank N.A,Form G,Depository Location,2401 N Halsted St,,17031070200,POINT (-87.64877 41.92576)
2021,BMO Harris Bank National Association,Form G,Depository Locations,5711 North Clark Street,,17031030500,POINT (-87.66929 41.98584)
2021,"PNC Bank, National Association",Form G,Depository Locations,"10701 S WESTERN AVE CHICAGO, IL 60643",,17031750200,POINT (-87.68138 41.69883)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,2785 North Clybourn Avenue,,17031070700,POINT (-87.67751 41.93178)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,5606 W Montrose Ave,60634,,POINT (-87.76762 41.9611)
2022,PNC Bank,Form G,Depository Location,"3360 N WESTERN AVE CHICAGO, IL 60618",,17031843700,POINT (-87.68823 41.94276)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,757 W 35th St,60616-3437,,POINT (-87.64537 41.83077)
2022,"Albany Bank and Trust Company, N.A.",Form G,Depository Location,4400 N Western Ave,,17.031.0408.00,POINT (-87.68904 41.9616)
2021,Huntington National Bank,Form G,Depository Locations,"222 N LaSalle St, Chicago, IL, 60601",,17031839100,POINT (-87.63257 41.88631)
2021,"PNC Bank, National Association",Form G,Depository Locations,"8700 S COTTAGE GROVE AVE CHICAGO, IL 60619",,17031440700,POINT (-87.6054 41.73651)
2022,U.S. Bank,Form G,Depository Location,1392 Torrence Ave,,8262.01,POINT (-87.55878 41.59576)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,3500 S King Dr,,170318396.00,POINT (-87.6173 41.83092)
2022,Bank of America,Form G,Depository Location,3425 W 26th St,,17031301600,POINT (-87.71078 41.84446)
2022,U.S. Bank,Form G,Depository Location,11 Madison St,,8130.00,POINT (-87.93366 41.71127)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,2501 N Clark St,,170310701.02,POINT (-87.64186 41.9279)
2022,U.S. Bank,Form G,Depository Location,3501 E 106th St,,5203.00,POINT (-87.5389 41.70274)
2022,Bank of America,Form G,Depository Location,5200 W Fullerton Ave,,17031190702,POINT (-87.75744 41.92411)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,3957 West 26th Street,,17031301701,POINT (-87.72425 41.84428)
2022,Citibank N.A.,Form G,Depository Location,100 S MICHIGAN AVE,,17031320400,POINT (-87.62446 41.88067)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,4017 Lawrence Avenue,,17031140500,POINT (-87.7287 41.96823)
2022,U.S. Bank,Form G,Depository Location,540 W Lake St,,8401.04,POINT (-87.6418 41.8857)
2021,"Bank of America, National Association",Form G,Depository Locations,"2163 N Clybourn Ave., Chicago, IL 60614",,17031832500,POINT (-87.6629 41.92055)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,6400 SOUTH PULASKI ROAD,,17031650301,POINT (-87.72308 41.7764)
2022,PNC Bank,Form G,Depository Location,"4400 N BROADWAY ST CHICAGO, IL 60640",,17031830700,POINT (-87.65534 41.9621)
2021,Associated Bank,Form G,Depository Locations,5200 N Central Ave Chicago 60630,,1102,POINT (-87.76906 41.97605)
2022,Citibank N.A.,Form G,Depository Location,69 W WASHINGTON ST,,17031839100,
2021,"Bank of America, National Association",Form G,Depository Locations,"250 W 83rd St., Chicago, IL 60620-1703",,17031842400,POINT (-87.63107 41.7439)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,6556 N SHERIDAN RD,,17031010503,POINT (-87.66075 42.00183)
2022,Fifth Third Bank N.A,Form G,Depository Location,2710 North Narragansett,,17031831500,POINT (-87.78566 41.92935)
2022,PNC Bank,Form G,Depository Location,"3030 N BROADWAY ST CHICAGO, IL 60657",,17031063100,POINT (-87.64431 41.9373)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,4854 W Irving Park Rd,,170311502.00,POINT (-87.74942 41.95387)
2021,Citibank N.A.,Form G,Depository Locations,3535 N CENTRAL AVE CHICAGO IL 60634,,1511,POINT (-87.76673 41.94518)
2021,"PNC Bank, National Association",Form G,Depository Locations,"3450 W 26TH ST CHICAGO, IL 60623",,17031300700,POINT (-87.71211 41.84468)
2022,Bank of America,Form G,Depository Location,5983 N Lincoln Ave,,17031020701,POINT (-87.70654 41.9899)
2021,BMO Harris Bank National Association,Form G,Depository Locations,4531 North Broadway,,17031830700,POINT (-87.65689 41.96455)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,7015 N Western Ave,60645-3415,,POINT (-87.69017 42.00947)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,7180 W Grand Ave,60707,,POINT (-87.80569 41.92392)
2021,Associated Bank,Form G,Depository Locations,6355 N Central Ave Chicago 60646,,1202,POINT (-87.76392 41.99703)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,2639 N Milwaukee Ave,60647-1643,,POINT (-87.70847 41.92971)
2021,BMO Harris Bank National Association,Form G,Depository Locations,3440 South Archer Avenue,,17031840300,POINT (-87.67592 41.83144)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,2170 N Clybourn Ave,60614-4029,,POINT (-87.66342 41.92092)
2021,"Bank of America, National Association",Form G,Depository Locations,"8422 W Lawrence Ave., Norridge, IL 60706",,17031770902,POINT (-87.8381 41.96658)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,820 N Western Ave,,17031242500,POINT (-87.68725 41.89635)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,1101 W Lawrence Ave,60640-5025,,POINT (-87.65786 41.96905)
2021,BMO Harris Bank National Association,Form G,Depository Locations,4723 South Kedzie Ave,,17031842800,POINT (-87.70395 41.80732)
2022,Fifth Third Bank N.A,Form G,Depository Location,222 South Riverside Plaza,,17031281900,POINT (-87.63834 41.87868)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,875 N Michigan Ave,60611-1803,,POINT (-87.6241 41.89875)
2022,Associated Bank,Form G,Depository Location,1301 Waukegan Rd Glenview 60025,,8022,POINT (-87.89178 42.3075)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,6155 N Western Ave,60659,,POINT (-87.68975 41.99365)
2022,U.S. Bank,Form G,Depository Location,450 W 55th St,,8201.03,POINT (-87.87445 41.79036)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,712 E 87th St,60619-6246,,POINT (-87.60715 41.73662)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,6245 S Western Ave,60636-2023,,POINT (-87.68365 41.77976)
2021,"Bank of America, National Association",Form G,Depository Locations,"6359 W Diversey Ave., Chicago, IL 60639-1053",,17031190601,POINT (-87.78524 41.931)
2021,"PNC Bank, National Association",Form G,Depository Locations,"2021 N CLARK ST CHICAGO, IL 60614",,17031071400,POINT (-87.63692 41.91971)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,4455 S Pulaski Rd,60632-4010,,POINT (-87.72266 41.81246)
2022,U.S. Bank,Form G,Depository Location,13521 S Route 59,,8804.11,POINT (-88.20288 41.63541)
2022,Bank of America,Form G,Depository Location,4758 N Racine Ave,,17031031700,POINT (-87.65958 41.96829)
2021,"PNC Bank, National Association",Form G,Depository Locations,"7300 S STONY ISLAND AVE CHICAGO, IL 60649",,17031430400,POINT (-87.58621 41.76223)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,"712 E 87th St, Ste D2",,170314402.02,POINT (-87.60715 41.73662)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,3601 NORTH HALSTED STREET,,17031060900,POINT (-87.64947 41.94748)
2021,Citibank N.A.,Form G,Depository Locations,3430 S HALSTED ST CHICAGO IL 60608,,8397,POINT (-87.64612 41.83151)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,3204 W Irving Park Rd,,170311605.02,POINT (-87.70832 41.95393)
2022,U.S. Bank,Form G,Depository Location,1301 Irving Park Rd,,8048.04,POINT (-87.66237 41.95435)
2021,"Bank of America, National Association",Form G,Depository Locations,"7225 W Belmont Ave., Chicago, IL 60634",,17031170900,POINT (-87.80779 41.938)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,1950 West 33rd Street,,17031840400,POINT (-87.67437 41.83406)
2022,Citibank N.A.,Form G,Depository Location,4010 W 26TH ST,,17031301802,POINT (-87.72516 41.84426)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,7015 N Western Ave,,170310204.00,POINT (-87.69017 42.00947)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,4959 WEST NORTH AVENUE,,17031250800,POINT (-87.75061 41.90957)
2022,U.S. Bank,Form G,Depository Location,801 N Clark St,,0810.00,POINT (-87.63123 41.89685)
2022,Fifth Third Bank N.A,Form G,Depository Location,6111 N River Rd,,17031770700,POINT (-87.86041 41.98791)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,5960 WEST IRVING PARK ROAD,,17031150402,POINT (-87.77637 41.95308)
2022,Citibank N.A.,Form G,Depository Location,222 W ADAMS ST,,17031839100,
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,1851 N Cicero Ave,,170311910.00,POINT (-87.74602 41.91409)
2022,Huntington,Form G,Depository Location,"4355 N Sheridan Rd, Chicago, IL, 60613",,17031032100,POINT (-87.65426 41.96132)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,1791 W Howard St,60626,,POINT (-87.67585 42.0194)
2022,U.S. Bank,Form G,Depository Location,11159 S Kedzie Ave,,7401.00,POINT (-87.70075 41.68992)
2022,Fifth Third Bank N.A,Form G,Depository Location,1420 East 53rd Street,,17031410800,POINT (-87.59097 41.79952)
